ID is: c0_g1_i1 	Count of A: 360 	Count of T: 370 	Count of C: 227 	Count of G: 206
ID is: c1_g1_i1 	Count of A: 252 	Count of T: 246 	Count of C: 127 	Count of G: 159
ID is: c3_g1_i1 	Count of A: 530 	Count of T: 639 	Count of C: 359 	Count of G: 354
ID is: c4_g1_i1 	Count of A: 259 	Count of T: 243 	Count of C: 170 	Count of G: 155
ID is: c5_g1_i1 	Count of A: 421 	Count of T: 455 	Count of C: 313 	Count of G: 276
ID is: c6_g1_i1 	Count of A: 434 	Count of T: 375 	Count of C: 209 	Count of G: 264
ID is: c7_g1_i1 	Count of A: 111 	Count of T: 111 	Count of C: 45 	Count of G: 68
ID is: c8_g1_i1 	Count of A: 612 	Count of T: 763 	Count of C: 479 	Count of G: 396
ID is: c8_g1_i2 	Count of A: 619 	Count of T: 708 	Count of C: 480 	Count of G: 412
ID is: c9_g1_i1 	Count of A: 402 	Count of T: 390 	Count of C: 231 	Count of G: 208
ID is: c12_g1_i1 	Count of A: 338 	Count of T: 419 	Count of C: 301 	Count of G: 307
ID is: c13_g1_i1 	Count of A: 985 	Count of T: 1190 	Count of C: 626 	Count of G: 572
ID is: c14_g1_i1 	Count of A: 790 	Count of T: 1070 	Count of C: 610 	Count of G: 555
ID is: c14_g1_i2 	Count of A: 521 	Count of T: 679 	Count of C: 362 	Count of G: 377
ID is: c15_g1_i1 	Count of A: 914 	Count of T: 808 	Count of C: 454 	Count of G: 508
ID is: c16_g1_i1 	Count of A: 705 	Count of T: 790 	Count of C: 407 	Count of G: 447
ID is: c17_g1_i1 	Count of A: 484 	Count of T: 500 	Count of C: 266 	Count of G: 280
ID is: c20_g1_i1 	Count of A: 78 	Count of T: 100 	Count of C: 43 	Count of G: 50
ID is: c21_g1_i1 	Count of A: 779 	Count of T: 889 	Count of C: 534 	Count of G: 475
ID is: c22_g1_i1 	Count of A: 317 	Count of T: 266 	Count of C: 131 	Count of G: 186
ID is: c23_g1_i1 	Count of A: 325 	Count of T: 312 	Count of C: 188 	Count of G: 179
ID is: c24_g1_i1 	Count of A: 335 	Count of T: 328 	Count of C: 244 	Count of G: 225
ID is: c25_g1_i1 	Count of A: 485 	Count of T: 585 	Count of C: 338 	Count of G: 360
ID is: c25_g1_i2 	Count of A: 549 	Count of T: 673 	Count of C: 359 	Count of G: 392
ID is: c26_g1_i1 	Count of A: 52 	Count of T: 112 	Count of C: 29 	Count of G: 30
